"DeployIDs","Ptt","TagType","HistType","GMTDate","MonthNumb","LocationQuality","Latitude","Longitude","Sum","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","Bin10","Bin11","Bin12","Bin13","Bin14","Bin15","Bin16","Bin17","Bin18","Bin19","Bin20","Bin21","Bin22","Bin23","Bin24"
"EB15SMK-110598",110590.00,"Spot","Percent",42404.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110590.00,"Spot","Percent",42405.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,20.00
"EB15SMK-110598",110590.00,"Spot","Percent",42406.00,"02",,,,,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110590.00,"Spot","Percent",42407.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,10.00,100.00,100.00,100.00,100.00,100.00,40.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110590.00,"Spot","Percent",42408.00,"02",,,,,0.00,0.00,3.00,40.00,10.00,98.00,70.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110598.00,"Spot","Percent",42408.00,"02",,,,,10.00,20.00,20.00,40.00,30.00,80.00,90.00,60.00,60.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,10.00,10.00
"EB15SMK-110598",110590.00,"Spot","Percent",42410.00,"02",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,10.00,3.00
"EB15SMK-110598",110598.00,"Spot","Percent",42410.00,"02",,,,,10.00,20.00,10.00,20.00,20.00,20.00,30.00,90.00,40.00,3.00,3.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,70.00,60.00,20.00
"EB15SMK-110598",110590.00,"Spot","Percent",42411.00,"02",,,,,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EB15SMK-110598",110598.00,"Spot","Percent",42413.00,"02",,,,,10.00,10.00,10.00,10.00,10.00,20.00,20.00,10.00,30.00,60.00,30.00,0.00,30.00,10.00,3.00,0.00,0.00,0.00,0.00,10.00,10.00,20.00,20.00,20.00
